observed_mass,true_mass
1.762129665663141509e+02,1.726075048463550274e+02
1.556502129053505428e+02,1.723892873165660831e+02
1.332260042393399715e+02,1.723588752035612401e+02
1.769031345000231852e+02,1.718204757648118175e+02
1.719518181808687132e+02,1.767722459488066136e+02
1.756214038661979657e+02,1.723588752035612401e+02
1.722372060481034737e+02,1.723539464507057062e+02
1.827854394916044214e+02,1.726075048463550274e+02
1.787938854723032875e+02,1.718204757648118175e+02
1.738000858975975689e+02,1.723539464507057062e+02
1.748856147437138304e+02,1.723539464507057062e+02
1.781594660802099952e+02,1.723539464507057062e+02
1.622598292334890573e+02,1.723588752035612401e+02
1.894104195005317592e+02,1.839609915044303250e+02
1.719982454224435457e+02,1.723588752035612401e+02
1.502859971102323016e+02,1.718204757648118175e+02
1.774042638862720480e+02,1.735925438708025013e+02
1.750048029211891105e+02,1.723892873165660831e+02
1.668950380146492307e+02,1.723892873165660831e+02
1.674885829466218183e+02,1.726075048463550274e+02
1.726568376856363329e+02,1.718204757648118175e+02
1.671019269585809468e+02,1.719857353846940100e+02
1.566792313215176762e+02,1.723892873165660831e+02
1.348021295686452845e+02,1.466516118047928785e+02
1.629563084935284110e+02,1.723588752035612401e+02
1.794117296558135308e+02,1.719857353846940100e+02
1.751253261510676396e+02,1.723588752035612401e+02
1.715505384523372925e+02,1.723539464507057062e+02
1.445735895042770665e+02,1.723588752035612401e+02
1.704186785642640700e+02,1.723892873165660831e+02
1.815132988204719311e+02,1.723892873165660831e+02
1.735244292289068255e+02,1.719857353846940100e+02
1.704246259928104337e+02,1.723539464507057062e+02
1.739669077155898549e+02,1.723588752035612401e+02
1.723153551206822272e+02,1.723588752035612401e+02
1.764710452963232967e+02,1.726075048463550274e+02
1.327478786853463362e+02,1.726075048463550274e+02
1.527173247523584507e+02,1.726075048463550274e+02
1.740093393152153851e+02,1.723539464507057062e+02
1.689606127864392420e+02,1.723539464507057062e+02
1.688103274331904515e+02,1.719857353846940100e+02
1.744736061904952180e+02,1.723588752035612401e+02
1.612047242680411330e+02,1.723588752035612401e+02
1.721503016783712212e+02,1.719857353846940100e+02
1.644998749102527711e+02,1.718204757648118175e+02
1.674687449495296221e+02,1.754108296648525993e+02
1.708617802199549089e+02,1.723588752035612401e+02
1.691220950935727672e+02,1.726075048463550274e+02
1.708206851399538664e+02,1.726075048463550274e+02
1.630667550154888943e+02,1.723892873165660831e+02
1.692312397868749656e+02,1.726075048463550274e+02
1.772230784312827723e+02,1.723539464507057062e+02
1.804278008903483226e+02,1.719857353846940100e+02
1.716586145358613749e+02,1.723588752035612401e+02
